GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
quickstart,com.vogella.maven.quickstart,EmpBusinessLogic,2,24,1,1,1,8,1,3,0,3
quickstart,com.vogella.maven.quickstart,EmployeeDetails,6,18,0,0,2,8,2,5,2,5
